Formula,Name,IUPAC Standard InChIKey,EA_,IE_,SMILES,EA,IE
C6H7N,3-Methylenecyclobutanenitrile,ZRWMAMOBIQQJSA-UHFFFAOYSA-N,,,C=C1CC(C1)C#N,-1.078782816,9.309854533
C6H7N,Bicyclo[2.1.0]pentane-1-carbonitrile,WHGLFTRKCCWYES-UHFFFAOYSA-N,,,C1CC2(C1C2)C#N,-1.490286606,8.809664652
C6H7N,"2-Propyn-1-amine, N-2-propynyl-",RGSODMOUXWISAG-UHFFFAOYSA-N,,,C#CCNCC#C,-,8.037522595
C6H7N,5-Hexynenitrile,JZYKFLLRVPPISG-UHFFFAOYSA-N,,,C#CCCCC#N,-1.085166517,9.639110354
C6H7N,7-Azanorbornadiene,JQBWSORHWJAIBL-UHFFFAOYSA-N,,8.2,C1=CC2C=CC1N2,-0.913742659,7.590426817
C6H7N,"2,4-Hexadienenitrile",NYKHMTWWXWMMHN-MQQKCMAXSA-N,,,CC=CC=CC#N,0.371922669,8.528689308
C6H9N3O,"2(1H)Pyrimidinone,4-amino-1,N-dimethyl-",VBPAOWSIZPGRAK-UHFFFAOYSA-N,,9.3,CNC1=NC(=O)N(C=C1)C,-0.566029617,-
C6H9N3O,"2(1H)-Pyrimidinone,4-amino-1,5-dimethyl-",AOUSVALLAUSDCJ-UHFFFAOYSA-N,,8.5,CC1=CN(C(=O)N=C1N)C,-0.499245659,7.703208249
C6H9N3O,"1,3,5-Trimethyl-4-nitrosopyrazole",JBPHKIGSCXZTPN-UHFFFAOYSA-N,,,CC1=C(C(=NN1C)C)N=O,0.255701767,7.069230044
C6H9N3O,"4-Amino-1,6-dimethyl-2-hydroxypyrimidine",ZNVPWIATYNFWSM-UHFFFAOYSA-N,,8.41,CC1C=C(NC(=O)N1C)N,-1.583780881,6.862176103
C6H9N3O,"2-Amino-6-hydroxy-4,5-dimethylpyrimidine (keto form)",APWRLAZEMYLHKZ-UHFFFAOYSA-N,,,CC1=C(N=C(NC1=O)N)C,-,7.403672282
C9H8,Indene,YBYIRNPNPLQARY-UHFFFAOYSA-N,<0.173,8.33,C1C=CC2=CC=CC=C21,-0.784229183,7.758356782
C9H8,"Benzene, 1-propynyl-",GHUURDQYRGVEHX-UHFFFAOYSA-N,,8.42,CC#CC1=CC=CC=C1,-0.57617932,7.884555958
C9H8,"Benzene, 1-ethynyl-4-methyl-",KSZVOXHGCKKOLL-UHFFFAOYSA-N,,8.48,CC1=CC=C(C=C1)C#C,-0.414815368,8.013783718
C9H8,3-Methylphenylacetylene,RENYIDZOAFFNHC-UHFFFAOYSA-N,,8.63,CC1=CC(=CC=C1)C#C,-0.3785295,8.151727162
C9H8,2-Methylphenylacetylene,MYBSUWNEMXUTAX-UHFFFAOYSA-N,,8.9,CC1=CC=CC=C1C#C,-0.368524015,8.151618318
C9H8,"Spiro[4.4]nona-1,3,6,8-tetraene",CLZMRBFGNUYTSN-UHFFFAOYSA-N,,7.99,C1=CC2(C=C1)C=CC=C2,-0.670982444,7.30135348
C9H8,"Benzene, 1,2-propadienyl-",WEHMXWJFCCNXHJ-UHFFFAOYSA-N,,8.29,C=C=CC1=CC=CC=C1,-,-
C9H8,3-phenyl-1-propyne,NGKSKVYWPINGLI-UHFFFAOYSA-N,,,C#CCC1=CC=CC=C1,-1.137683747,8.380928136
C9H8O4,Aspirin,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,,,CC(=O)OC1=CC=CC=C1C(=O)O,0.226860828,8.302682905
C9H8O4,Caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,,,C1=CC(=C(C=C1C=CC(=O)O)O)O,0.484984374,7.476007283
C9H8O4,Methyl hydrogen phthalate,FNJSWIPFHMKRAT-UHFFFAOYSA-N,,,COC(=O)C1=CC=CC=C1C(=O)O,0.513343678,-
