SMILE,SRP
CNC(=O)C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])N2CC2,-0.387
CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F,0.894
C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.[Ru+2],1.24
C1=CC=C(C=C1)OCCCN2C=CN=C2[N+](=O)[O-],-0.409
CN(C)CCCN2C1=CC(=CC=C1SC3=CC=CC=C23)COC,0.863
CCCCC[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CCO,-0.438
CC1=C(NC2=CC=CC=C12)C,0.78
C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O,-0.305
C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,-0.93
C[N+](C)(C)CC[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CC[N+](C)(C)C,-0.28
C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.[Ru+2],1.62
CN(C)CCCNC1=C2C(=NC3=CC=CC=C31)C=CC=C2[N+](=O)[O-],-0.275
CN1C(=CN=C1I)[N+](=O)[O-],-0.454
CN([CH2])C1=CC=CC=C1,-0.61
C=CC[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CC,-0.428
C1=CC=C2C(=C1)NC3=C(S2)C=C(C=C3)I,0.758
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)O,-0.345
CCS(=O)(=O)CCN1C=CN=C1[N+](=O)[O-],-0.368
C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.[Ir+3],2.05
CN1C2=C(C=C(C=C2)Br)SC3=CC=CC=C31,0.766
CCOC(=O)C1=CC(=C(C(=C1)O)O)O,-0.054
C1(=C(C=CC(=C1C)O)O)C,0.43
CC(=O)C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CC(=O)C,-0.305
CCN1CC[N+]2=C1C=CC(=C2)[N+](=O)[O-],-0.356
C1=NC(=C(N1)C(=O)N)N,-0.584
CN1C(=CN=C1[N+](=O)[O-])C=C,-0.392
COCCN1C=CN=C1[N+](=O)[O-],-0.393
CN1C=NC(=C1OC2=CC=C(C=C2)O)[N+](=O)[O-],-0.565
C1=CC2=C(C(=C1)O)OC(=C2)[N+](=O)[O-],-0.288
C1=CC(=C(C(=C1)O)O)C(=O)O,0.118
C1=CN(C(=N1)[N+](=O)[O-])CCO,-0.398
C1=CC=[N+](C(=C1)C2=CC=CC=[N+]2CCCS(=O)(=O)[O-])CCCS(=O)(=O)[O-],-0.68
C1=C(OC(=C1)[N+](=O)[O-])/C=N\O,-0.253
CC1=[N+](C=CC(=C1)C2=CC(=[N+](C=C2)C)C)C,-0.552
C1=CC3=C(C=C1)N(C2=C(C=CC=C2)S3)C(C)CN(C)C,0.89
C1=CN=C([N+](=O)[O-])[N]1CCN2CCCC2,-0.334
C1=C[N+]4=C2C(=C1)C=CC3=C2[N+](=CC=C3)CCCC4,-0.45
CN1C=NC([N]([O-])=O)C1=O,-0.439
CN1C=NC(=C1OC2=CC=CC=C2)[N+](=O)[O-],-0.56
C1=CC=C(C=C1)N,1.03
C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)O,-0.344
C1=CC=C(C(=C1)C=O)[N+](=O)[O-],-0.355
C1=CC(=C(C=C1O)C(=O)O)O,0.033
CC1=NC=C(N1CCN2CCOCC2)[N+](=O)[O-],-0.457
CCC[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CCC,-0.438
CN(C)C(=O)CC[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CCC(=O)N(C)C,-0.385
CN1C=NC(=C1S(=O)(=O)N)[N+](=O)[O-],-0.395
C(CS)C(=O)O,1.359
CC1=C(C(=C(C(=C1C)O)C)C)O,0.95
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O,-0.313
C1CC[N+]2=CC=CC=C2C3=CC=CC=[N+]3C1,-0.7
CC1=CC2=CC=CC=C2N1,1.1
C1=CC(=CC=C1C(CCN(C)C)=O)[N+](=O)[O-],-0.315
C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.[Fe+2],1.06
C\C(=C(\C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CCCF)[H])[H],-0.418
CN1C=C(C2=C1N=CC=C2)[N+](=O)[O-],-0.566
C34C(CC1C(C2=C(C=C1)C=CC=C2)N3)C=CC5=C4C=CC=C5,0.544
C1=CC=CC2=C1[CH]C3C2C=CC=C3,1.0
COC1=CC(=O)C=CC1NC2=C3C=CC=CC3=NC4=CC=CC=C42,0.085
C1C(=O)NC(=O)NC1=O,0.79
C2(C1=C(C)N(C(=C1C(C=C2)=O)C3=CC=CC=C3)C)=O,-0.44
CN1C=NC(=C1S(=O)(=O)OC2=CC=C(C=C2)OC)[N+](=O)[O-],-0.335
C1(=CN=C([N]1C)[N+](=O)[O-])C(OC(C)=O)OC(C)=O,0.35
C[CH]C1=CC=CC=C1,0.61
