SMILE,SRP
C1=CC(=C(C2=C1C(=O)C3=C(C=CC(=C3C2=O)O)O)O)O,0.073
[O]C1C2=CC=CC=C2C([O-])C3=C1C=CC=C3S(=O)([O-])=O,-0.218
C1=CC3=C(C=C1)N(C2=C(C=CC=C2)S3)C,0.829
COC1=C(C=CC(=C1)O)O,-0.085
CN1C=NC(=C1S(=O)(=O)N2CCOCC2)[N+](=O)[O-],-0.406
CSSC,1.391
[C]12=[S]3ON=C1C[C]CC2=NO3,-0.416
C1=CC2=C(C(=C1)O)OC(=C2)[N+](=O)[O-],-0.288
C([C@H]([C@H](CS)O)O)S,1.724
CC1=C(SC[C@H](NC(CC[C@H](N)C(O)=O)=O)C(NCC(O)=O)=O)C(C2=CC=CC=C2C1[O])[O-],-0.192
C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CCCC[N+]3=CC=C(C=C3)C4=CC=[N+](C=C4)C,-0.39
CC(OCC1=CC(C2=CC=CC=C2C1[O-])[O])=O,-0.106
