SMILE,solvent,type,ph,SRP
C[CH-]C1=CC=CC=C1,CH3CN,anion,7.0,-1.34
C[C](C1=CC=CC=C1)C2=CC=CC=C2,CH3CN,radical,7.0,0.47
C[C-](C1=CC=CC=C1)C2=CC=CC=C2,CH3CN,anion,7.0,-1.1
C[C](C)C,CH3CN,radical,7.0,0.35
C[C-](C)C,CH3CN,anion,7.0,-1.76
CO[CH2],CH3CN,radical,7.0,0.0
CO[CH2-],CH3CN,anion,7.0,-1.06
C1=CC=CC2=C1[CH]C3C2C=CC=C3,CH3CN,radical,7.0,1.0
C1=CC=CC2=C1[CH-]C3C2C=CC=C3,CH3CN,anion,7.0,-0.52
CCO[CH]C,CH3CN,radical,7.0,-0.21
C1C[CH]OC1,CH3CN,radical,7.0,-0.11
C1CO[CH]CO1,CH3CN,radical,7.0,0.16
C1CO[CH]O1,CH3CN,radical,7.0,0.55
C1[CH]OCO1,CH3CN,radical,7.0,-0.1
C1OCO[CH]O1,CH3CN,radical,7.0,0.44
CN([CH2])C1=CC=CC=C1,CH3CN,radical,7.0,-0.61
CN([CH2-])C1=CC=CC=C1,CH3CN,anion,7.0,-1.79
COC1=CC=C(C=C1)[CH2],CH3CN,radical,7.0,0.5
C1=CC(=O)C=CC1=O,H2O,neutral,7.0,0.078
CC1=CC(=O)C=CC1=O,H2O,neutral,7.0,0.023
CC1=C(C(=O)C=CC1=O)C,H2O,neutral,7.0,-0.074
